INSTNM,UNITID,Year,C100_4,C150_4,C150_4_NRA,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,DEBT_N,DEP_DEBT_MDN,DEP_DEBT_N,FEMALE_DEBT_MDN,FEMALE_DEBT_N,GRAD_DEBT_MDN,GRAD_DEBT_N,IND_DEBT_MDN,IND_DEBT_N,MALE_DEBT_MDN,MALE_DEBT_N,MD_INC_DEBT_MDN,MD_INC_DEBT_N,NOPELL_DEBT_MDN,NOPELL_DEBT_N,NOTFIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_N,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,PCTFLOAN,PCTPELL,PELL_DEBT_MDN,PELL_DEBT_N,WDRAW_DEBT_MDN,WDRAW_DEBT_N,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,D150_4,D150_4_2MOR,D150_4_AIAN,D150_4_ASIAN,D150_4_BLACK,D150_4_HISP,D150_4_NHPI,D150_4_NRA,D150_4_UNKN,D150_4_WHITE
University of Illinois at Urbana-Champaign,145637,2016-17,0.6988,0.852,0.7976,NULL,0.826999694,0.851710395,9321,18000,8901,18000,4391,20127,6982,14981,420,17503.5,4930,19000,2686,16862,4895,18000,7299,7554,11108,16782,24097,27448,0.3584,0.2067,18911,4426,9000,2372,NULL,NULL,NULL,NULL,6921,144,6,980,359,508,26,904,54,3940
Northwestern University,147767,2016-17,0.8396,0.9351,0.9023,NULL,0.912743252,0.932013201,2152,17485.5,1826,15983,1094,17500,1806,7000,326,16539,1058,17774.5,546,15495.5,1450,16360,1889,NULL,NULL,NULL,NULL,NULL,0.268,0.142,18430.5,702,9348,361,NULL,NULL,NULL,NULL,2126,70,3,412,116,173,1,133,28,1190
Indiana University,151351,2016-17,0.5976,0.7639,0.7524,NULL,0.821379625,0.888315345,9366,17744,8906,17750,4811,21500,5871,21396.5,460,18000,4555,17766.5,2500,17350,5409,18000,7341,5470,6901,12796,19209,21799,0.3071,0.1533,18796,3957,8750,3524,NULL,NULL,NULL,NULL,6977,219,3,253,338,318,2,622,48,5174
University of Iowa,153658,2016-17,0.5095,0.7182,0.7626,NULL,0.793728564,0.825675973,8652,16815,7265,15831,4673,21500,5286,12393,1387,16208,3979,16500,2401,14551,4956,16000,6734,8259,9753,13418,16607,17268,0.4182,0.1879,18531,3696,8266.5,3412,NULL,NULL,NULL,NULL,4457,83,9,134,111,230,6,337,158,3389
University of Maryland,163286,2016-17,0.6891,0.8641,0.7917,NULL,0.85514421,0.877538947,8117,16500,7178,16500,3929,19500,5814,17750,939,16509,4188,16500,2019,16500,4482,16994.5,6534,7645,10573,16013,20346,22922,0.3398,0.1875,16750,3635,10216,2354,NULL,NULL,NULL,NULL,3930,121,8,562,509,295,0,72,188,2175
University of Michigan - Ann Arbor,170976,2016-17,0.765,0.9117,0.9341,NULL,0.826826827,0.833404075,6786,18481,6476,17674,3420,19153,5780,12500,310,18520,3366,19049,1639,17808,4067,18151.5,5764,2660,5878,10106,16677,24129,0.2989,0.1517,18536,2719,10284,1046,NULL,NULL,NULL,NULL,6443,211,11,874,282,273,0,258,54,4480
Michigan State University,171100,2016-17,0.5194,0.7826,0.706,NULL,0.744590369,0.829370976,13096,21879,12311,22642,7199,25200,9301,21130,785,21188,5897,25330,3531,19500,6632,21500,10240,6665,12416,18143,22871,24846,0.4363,0.2254,25500,6464,10773,4027,NULL,NULL,NULL,NULL,7221,205,14,312,499,271,2,636,69,5213
University of Minnesota,174066,2016-17,0.6122,0.7838,0.8238,NULL,0.818910878,0.858185135,12886,16811.5,11126,16812,7063,20000,8342,18750,1760,17500,5823,16737.5,3422,15750,6977,17000,10470,7694,8246,12781,19554,23807,0.412,0.1938,18054,5909,10600,4634,NULL,NULL,NULL,NULL,5310,152,14,460,191,140,5,244,30,4074
University of Nebraska,181464,2016-17,0.3617,0.6665,0.7077,NULL,0.821510884,0.855118952,7575,13500,6927,13500,3844,21787.5,3962,16882,648,14200,3731,13500,2322,13000,4031,14000,5886,12268,13165,16331,19964,20973,0.3934,0.2051,15000,3544,7500,3644,NULL,NULL,NULL,NULL,4039,82,13,72,106,164,2,65,25,3510
Rutgers University,186380,2016-17,0.5915,0.8006,0.76,NULL,0.779382197,0.807862098,21256,19500,17200,19500,11483,22250,13971,19109,4056,19125,9773,20500,6239,16000,9023,19500,14132,11893,13845,19937,26125,27750,0.5325,0.3149,21500,12233,12462.5,7374,NULL,NULL,NULL,NULL,6028,218,4,1679,437,668,28,125,99,2770
