"PCIP01"	"PCIP03"	"PCIP04"	"PCIP05"	"PCIP09"	"PCIP10"	"PCIP11"	"PCIP12"	"PCIP13"	"PCIP14"	"PCIP15"	"PCIP16"	"PCIP19"	"PCIP22"	"PCIP23"	"PCIP24"	"PCIP25"	"PCIP26"	"PCIP27"	"PCIP29"	"PCIP30"	"PCIP31"	"PCIP38"	"PCIP39"	"PCIP40"	"PCIP41"	"PCIP42"	"PCIP43"	"PCIP44"	"PCIP45"	"PCIP46"	"PCIP47"	"PCIP48"	"PCIP49"	"PCIP50"	"PCIP51"	"PCIP52"	"PCIP54"	"CIP01BACHL"	"CIP03BACHL"	"CIP04BACHL"	"CIP05BACHL"	"CIP09BACHL"	"CIP10BACHL"	"CIP11BACHL"	"CIP12BACHL"	"CIP13BACHL"	"CIP14BACHL"	"CIP15BACHL"	"CIP16BACHL"	"CIP19BACHL"	"CIP22BACHL"	"CIP23BACHL"	"CIP24BACHL"	"CIP25BACHL"	"CIP26BACHL"	"CIP27BACHL"	"CIP29BACHL"	"CIP30BACHL"	"CIP31BACHL"	"CIP38BACHL"	"CIP39BACHL"	"CIP40BACHL"	"CIP41BACHL"	"CIP42BACHL"	"CIP43BACHL"	"CIP44BACHL"	"CIP45BACHL"	"CIP46BACHL"	"CIP47BACHL"	"CIP48BACHL"	"CIP49BACHL"	"CIP50BACHL"	"CIP51BACHL"	"CIP52BACHL"	"CIP54BACHL"	"NPT4_PUB"	"NPT41_PUB"	"NPT42_PUB"	"NPT43_PUB"	"NPT44_PUB"	"NPT45_PUB"	"NPT4_048_PUB"	"NPT4_3075_PUB"	"NPT4_75UP_PUB"	"NUM4_PUB"	"NUM41_PUB"	"NUM42_PUB"	"NUM43_PUB"	"NUM44_PUB"	"NUM45_PUB"	"PCTPELL"	"C150_4"	"D150_4"	"C150_4_NRA"	"PCTFLOAN"	"COMPL_RPY_1YR_RT"	"FEMALE_RPY_1YR_RT"	"MALE_RPY_1YR_RT"	"COMPL_RPY_3YR_RT"	"FEMALE_RPY_3YR_RT"	"MALE_RPY_3YR_RT"	"COMPL_RPY_5YR_RT"	"FEMALE_RPY_5YR_RT"	"MALE_RPY_5YR_RT"	"GRAD_DEBT_MDN"	"WDRAW_DEBT_MDN"	"LO_INC_DEBT_MDN"	"MD_INC_DEBT_MDN"	"HI_INC_DEBT_MDN"	"DEP_DEBT_MDN"	"IND_DEBT_MDN"	"PELL_DEBT_MDN"	"NOPELL_DEBT_MDN"	"FEMALE_DEBT_MDN"	"MALE_DEBT_MDN"	"FIRSTGEN_DEBT_MDN"	"NOTFIRSTGEN_DEBT_MDN"	"DEBT_N"	"GRAD_DEBT_N"	"WDRAW_DEBT_N"	"LO_INC_DEBT_N"	"MD_INC_DEBT_N"	"HI_INC_DEBT_N"	"DEP_DEBT_N"	"IND_DEBT_N"	"PELL_DEBT_N"	"NOPELL_DEBT_N"	"FEMALE_DEBT_N"	"MALE_DEBT_N"	"FIRSTGEN_DEBT_N"	"NOTFIRSTGEN_DEBT_N"	"FEMALE_RPY_1YR_N"	"MALE_RPY_1YR_N"	"FEMALE_RPY_3YR_N"	"MALE_RPY_3YR_N"	"FEMALE_RPY_5YR_N"	"MALE_RPY_5YR_N"	"MN_EARN_WNE_INDEP0_P6"	"MN_EARN_WNE_INDEP1_P6"	"MN_EARN_WNE_MALE0_P6"	"MN_EARN_WNE_MALE1_P6"	"GRAD_DEBT_MDN_SUPP"	"FEMALE_RPY_3YR_RT_SUPP"	"MALE_RPY_3YR_RT_SUPP"	"C100_4"	"D150_4_WHITE"	"D150_4_BLACK"	"D150_4_HISP"	"D150_4_ASIAN"	"D150_4_AIAN"	"D150_4_NHPI"	"D150_4_2MOR"	"D150_4_NRA"	"D150_4_UNKN"	"Year"
"6.9699999999999998E-2"	"6.7000000000000002E-3"	"1.7100000000000001E-2"	"8.3999999999999995E-3"	"7.5300000000000006E-2"	"0"	"4.19E-2"	"0"	"2.5000000000000001E-2"	"0.20860000000000001"	"0"	"8.0000000000000002E-3"	"6.4000000000000003E-3"	"0"	"1.66E-2"	"8.0000000000000004E-4"	"0"	"7.5800000000000006E-2"	"2.8400000000000002E-2"	"0"	"1.1599999999999999E-2"	"3.1300000000000001E-2"	"1.9E-3"	"0"	"3.39E-2"	"0"	"5.0200000000000002E-2"	"0"	"6.7000000000000002E-3"	"7.5200000000000003E-2"	"0"	"0"	"0"	"0"	"2.12E-2"	"4.4900000000000002E-2"	"0.12690000000000001"	"7.4999999999999997E-3"	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1	1	0	2	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	"18243"	"7554"	"11108"	"16782"	"24097"	"27448"	"8893"	"14198"	"26361"	"3134"	"728"	"440"	"526"	"467"	"973"	"0.20669999999999999"	"0.85199999999999998"	"6921"	"0.79759999999999998"	"0.3584"	"NULL"	"NULL"	"NULL"	"0.82699969350000002"	"0.7598415449"	"0.81410825200000003"	"0.85171039520000003"	"0.79471913019999996"	"0.83093609999999996"	"20127"	"9000"	"15500"	"19000"	"18151"	"18000"	"14981"	"18911"	"16862"	"18000"	"17503.5"	"17000"	"18000"	"9321"	"6982"	"2372"	"2146"	"2686"	"4489"	"8901"	"420"	"4426"	"4895"	"4391"	"4930"	"2022"	"7299"	"NULL"	"NULL"	"4039"	"4508"	"3863"	"4241"	"NULL"	"NULL"	"NULL"	"NULL"	"20127"	"0.7598415449"	"0.81410825200000003"	"0.69879999999999998"	"3940"	"359"	"508"	"980"	"6"	"26"	"144"	"904"	"54"	"2016-17"
"0"	"5.5999999999999999E-3"	"1.6000000000000001E-3"	"7.9000000000000008E-3"	"0.1968"	"0"	"3.4099999999999998E-2"	"0"	"4.4000000000000003E-3"	"0.13850000000000001"	"0"	"1.15E-2"	"0"	"1.03E-2"	"1.5900000000000001E-2"	"4.0000000000000002E-4"	"0"	"5.6300000000000003E-2"	"2.5399999999999999E-2"	"0"	"1.1900000000000001E-2"	"0"	"8.6999999999999994E-3"	"0"	"1.5900000000000001E-2"	"0"	"6.9800000000000001E-2"	"0"	"4.3700000000000003E-2"	"0.1714"	"0"	"0"	"0"	"0"	"9.1300000000000006E-2"	"1.03E-2"	"4.5600000000000002E-2"	"2.2599999999999999E-2"	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"NULL"	"0.14199999999999999"	"0.93510000000000004"	"2126"	"0.90229999999999999"	"0.26800000000000002"	"NULL"	"NULL"	"NULL"	"0.91274325170000004"	"0.87020109690000003"	"0.87011615630000005"	"0.93201320129999998"	"0.8980144404"	"0.89892473120000005"	"17500"	"9348"	"12500"	"17774.5"	"16979"	"17485.5"	"7000"	"18430.5"	"15495.5"	"15983"	"16539"	"16598"	"16360"	"2152"	"1806"	"361"	"482"	"546"	"1124"	"1826"	"326"	"702"	"1450"	"1094"	"1058"	"263"	"1889"	"NULL"	"NULL"	"1094"	"947"	"1108"	"930"	"NULL"	"NULL"	"NULL"	"NULL"	"17500"	"0.87020109690000003"	"0.87011615630000005"	"0.83960000000000001"	"1190"	"116"	"173"	"412"	"3"	"1"	"70"	"133"	"28"	"2016-17"
"0"	"2.7000000000000001E-3"	"0"	"3.5999999999999999E-3"	"8.4199999999999997E-2"	"3.0999999999999999E-3"	"6.1899999999999997E-2"	"0"	"6.1699999999999998E-2"	"0"	"0"	"1.8100000000000002E-2"	"1.61E-2"	"0"	"1.17E-2"	"3.4700000000000002E-2"	"0"	"8.3099999999999993E-2"	"1.4999999999999999E-2"	"0"	"1.6999999999999999E-3"	"7.8799999999999995E-2"	"2E-3"	"0"	"1.46E-2"	"0"	"4.4299999999999999E-2"	"1.6500000000000001E-2"	"6.8599999999999994E-2"	"7.0400000000000004E-2"	"0"	"0"	"0"	"0"	"4.8399999999999999E-2"	"4.6199999999999998E-2"	"0.20419999999999999"	"8.2000000000000007E-3"	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	2	1	"14303"	"5470"	"6901"	"12796"	"19209"	"21799"	"6092"	"10163"	"20749"	"2691"	"518"	"398"	"493"	"520"	"762"	"0.15329999999999999"	"0.76390000000000002"	"6977"	"0.75239999999999996"	"0.30709999999999998"	"NULL"	"NULL"	"NULL"	"0.82137962539999998"	"0.71129454400000003"	"0.72065033779999998"	"0.88831534489999997"	"0.79624825379999997"	"0.75750153090000005"	"21500"	"8750"	"15529"	"17766.5"	"18681.5"	"17744"	"21396.5"	"18796"	"17350"	"17750"	"18000"	"17750"	"18000"	"9366"	"5871"	"3524"	"1774"	"2500"	"5092"	"8906"	"460"	"3957"	"5409"	"4811"	"4555"	"2025"	"7341"	"NULL"	"NULL"	"4967"	"4736"	"5011"	"4899"	"NULL"	"NULL"	"NULL"	"NULL"	"21500"	"0.71129454400000003"	"0.72065033779999998"	"0.59760000000000002"	"5174"	"338"	"318"	"253"	"3"	"2"	"219"	"622"	"48"	"2016-17"
"0"	"8.0999999999999996E-3"	"0"	"4.1999999999999997E-3"	"7.6899999999999996E-2"	"0"	"2.2700000000000001E-2"	"0"	"1.83E-2"	"8.1100000000000005E-2"	"0"	"1.7299999999999999E-2"	"0"	"0"	"4.0500000000000001E-2"	"0.04"	"0"	"2.9399999999999999E-2"	"2.3800000000000002E-2"	"0"	"2.3800000000000002E-2"	"0.13320000000000001"	"5.0000000000000001E-3"	"0"	"1.17E-2"	"0"	"6.0299999999999999E-2"	"0"	"1.06E-2"	"7.8E-2"	"0"	"0"	"0"	"0"	"5.2499999999999998E-2"	"7.2099999999999997E-2"	"0.17810000000000001"	"1.23E-2"	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	2	0	1	1	0	2	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	2	1	"14192"	"8259"	"9753"	"13418"	"16607"	"17268"	"9021"	"11881"	"16994"	"1491"	"195"	"203"	"281"	"337"	"475"	"0.18790000000000001"	"0.71819999999999995"	"4457"	"0.76259999999999994"	"0.41820000000000002"	"NULL"	"NULL"	"NULL"	"0.79372856439999995"	"0.70837512540000003"	"0.71168091170000003"	"0.82567597270000004"	"0.76827371700000002"	"0.75952582560000004"	"21500"	"8266.5"	"13098"	"16500"	"17538"	"16815"	"12393"	"18531"	"14551"	"15831"	"16208"	"15991.5"	"16000"	"8652"	"5286"	"3412"	"2092"	"2401"	"4159"	"7265"	"1387"	"3696"	"4956"	"4673"	"3979"	"1918"	"6734"	"NULL"	"NULL"	"3988"	"3510"	"3858"	"3543"	"NULL"	"NULL"	"NULL"	"NULL"	"21500"	"0.70837512540000003"	"0.71168091170000003"	"0.50949999999999995"	"3389"	"111"	"230"	"134"	"9"	"6"	"83"	"337"	"158"	"2016-17"
"2.9100000000000001E-2"	"9.2999999999999992E-3"	"8.6999999999999994E-3"	"1.21E-2"	"6.2399999999999997E-2"	"0"	"5.5300000000000002E-2"	"0"	"3.2800000000000003E-2"	"0.13780000000000001"	"0"	"2.01E-2"	"2.2100000000000002E-2"	"0"	"2.0199999999999999E-2"	"0"	"0"	"8.8400000000000006E-2"	"1.7600000000000001E-2"	"0"	"2.7000000000000001E-3"	"3.5799999999999998E-2"	"4.4999999999999997E-3"	"0"	"1.83E-2"	"0"	"4.6100000000000002E-2"	"0"	"0"	"0.1636"	"0"	"0"	"0"	"0"	"2.5700000000000001E-2"	"2.8400000000000002E-2"	"0.1439"	"1.5100000000000001E-2"	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	"16928"	"7645"	"10573"	"16013"	"20346"	"22922"	"8820"	"13892"	"22140"	"1133"	"206"	"138"	"216"	"174"	"399"	"0.1875"	"0.86409999999999998"	"3930"	"0.79169999999999996"	"0.33979999999999999"	"NULL"	"NULL"	"NULL"	"0.85514421009999997"	"0.77892918830000002"	"0.80832420589999998"	"0.87753894700000001"	"0.82437782810000004"	"0.83567134269999999"	"19500"	"10216"	"14463"	"16500"	"17500"	"16500"	"17750"	"16750"	"16500"	"16500"	"16509"	"15000"	"16994.5"	"8117"	"5814"	"2354"	"1808"	"2019"	"4290"	"7178"	"939"	"3635"	"4482"	"3929"	"4188"	"1583"	"6534"	"NULL"	"NULL"	"3474"	"3652"	"3536"	"3493"	"NULL"	"NULL"	"NULL"	"NULL"	"19500"	"0.77892918830000002"	"0.80832420589999998"	"0.68910000000000005"	"2175"	"509"	"295"	"562"	"8"	"0"	"121"	"72"	"188"	"2016-17"
"0"	"1.43E-2"	"8.0999999999999996E-3"	"1.55E-2"	"2.93E-2"	"0"	"7.7200000000000005E-2"	"0"	"1.2200000000000001E-2"	"0.17699999999999999"	"0"	"2.5399999999999999E-2"	"0"	"0"	"2.4199999999999999E-2"	"1.03E-2"	"0"	"8.9499999999999996E-2"	"2.9399999999999999E-2"	"0"	"3.4500000000000003E-2"	"3.1699999999999999E-2"	"2.8E-3"	"0"	"1.77E-2"	"0"	"9.6600000000000005E-2"	"0"	"9.1999999999999998E-3"	"0.1158"	"0"	"0"	"0"	"0"	"6.08E-2"	"2.9499999999999998E-2"	"7.51E-2"	"1.41E-2"	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	2	1	1	"14897"	"2660"	"5878"	"10106"	"16677"	"24129"	"3894"	"8383"	"21479"	"1545"	"262"	"163"	"237"	"314"	"569"	"0.1517"	"0.91169999999999995"	"6443"	"0.93410000000000004"	"0.2989"	"NULL"	"NULL"	"NULL"	"0.82682682679999997"	"0.76855345909999995"	"0.81407359589999995"	"0.8334040747"	"0.79341317369999997"	"0.81289675910000003"	"19153"	"10284"	"15739"	"19049"	"18299.5"	"18481"	"12500"	"18536"	"17808"	"17674"	"18520"	"18045.5"	"18151.5"	"6786"	"5780"	"1046"	"1309"	"1639"	"3838"	"6476"	"310"	"2719"	"4067"	"3420"	"3366"	"1022"	"5764"	"NULL"	"NULL"	"3180"	"3098"	"3006"	"2993"	"NULL"	"NULL"	"NULL"	"NULL"	"19153"	"0.76855345909999995"	"0.81407359589999995"	"0.76500000000000001"	"4480"	"282"	"273"	"874"	"11"	"0"	"211"	"258"	"54"	"2016-17"
"4.9799999999999997E-2"	"1.3100000000000001E-2"	"3.0999999999999999E-3"	"5.9999999999999995E-4"	"0.12540000000000001"	"1E-4"	"1.4500000000000001E-2"	"0"	"2.9399999999999999E-2"	"7.6399999999999996E-2"	"2.8899999999999999E-2"	"1.18E-2"	"1.35E-2"	"8.3999999999999995E-3"	"1.78E-2"	"4.1000000000000003E-3"	"0"	"9.9400000000000002E-2"	"1.1599999999999999E-2"	"0"	"1.55E-2"	"3.6299999999999999E-2"	"8.9999999999999998E-4"	"0"	"1.2699999999999999E-2"	"0"	"3.9699999999999999E-2"	"1.9900000000000001E-2"	"9.1999999999999998E-3"	"0.11070000000000001"	"1E-3"	"0"	"0"	"0"	"2.18E-2"	"4.0500000000000001E-2"	"0.1794"	"4.4999999999999997E-3"	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	2	1	1	"17120"	"6665"	"12416"	"18143"	"22871"	"24846"	"8532"	"15367"	"24136"	"3461"	"928"	"446"	"474"	"580"	"1033"	"0.22539999999999999"	"0.78259999999999996"	"7221"	"0.70599999999999996"	"0.43630000000000002"	"NULL"	"NULL"	"NULL"	"0.74459036899999997"	"0.64956997650000003"	"0.70122652360000004"	"0.82937097569999996"	"0.74708994709999998"	"0.76711266239999998"	"25200"	"10773"	"22000"	"25330"	"20500"	"21879"	"21130"	"25500"	"19500"	"22642"	"21188"	"24201.5"	"21500"	"13096"	"9301"	"4027"	"3221"	"3531"	"6344"	"12311"	"785"	"6464"	"6632"	"7199"	"5897"	"2856"	"10240"	"NULL"	"NULL"	"6395"	"5218"	"6615"	"5157"	"NULL"	"NULL"	"NULL"	"NULL"	"25200"	"0.64956997650000003"	"0.70122652360000004"	"0.51939999999999997"	"5213"	"499"	"271"	"312"	"14"	"2"	"205"	"636"	"69"	"2016-17"
"2.75E-2"	"1.6400000000000001E-2"	"1.5900000000000001E-2"	"3.7000000000000002E-3"	"3.85E-2"	"0"	"5.2900000000000003E-2"	"4.3E-3"	"5.16E-2"	"0.1043"	"1E-4"	"2.18E-2"	"1.72E-2"	"0"	"5.1299999999999998E-2"	"0"	"0"	"0.107"	"3.5499999999999997E-2"	"0"	"3.6700000000000003E-2"	"1.24E-2"	"3.3E-3"	"0"	"2.87E-2"	"0"	"7.1300000000000002E-2"	"0"	"0"	"0.1192"	"4.1999999999999997E-3"	"0"	"0"	"0"	"3.4099999999999998E-2"	"3.1300000000000001E-2"	"0.1022"	"8.6E-3"	1	1	1	1	1	0	2	1	2	2	0	1	1	0	1	0	0	1	1	0	2	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1	2	1	"16993"	"7694"	"8246"	"12781"	"19554"	"23807"	"7942"	"10955"	"22275"	"2105"	"296"	"242"	"359"	"435"	"773"	"0.1938"	"0.78380000000000005"	"5310"	"0.82379999999999998"	"0.41199999999999998"	"NULL"	"NULL"	"NULL"	"0.81891087829999998"	"0.73395931140000004"	"0.76193048799999996"	"0.8581851345"	"0.77984545019999996"	"0.79101454609999999"	"20000"	"10600"	"16500"	"16737.5"	"17610"	"16811.5"	"18750"	"18054"	"15750"	"16812"	"17500"	"17109"	"17000"	"12886"	"8342"	"4634"	"3109"	"3422"	"6355"	"11126"	"1760"	"5909"	"6977"	"7063"	"5823"	"2416"	"10470"	"NULL"	"NULL"	"6390"	"5553"	"6341"	"5431"	"NULL"	"NULL"	"NULL"	"NULL"	"20000"	"0.73395931140000004"	"0.76193048799999996"	"0.61219999999999997"	"4074"	"191"	"140"	"460"	"14"	"5"	"152"	"244"	"30"	"2016-17"
"0.10059999999999999"	"1.83E-2"	"2.1899999999999999E-2"	"2.5000000000000001E-3"	"7.7100000000000002E-2"	"0"	"1.3899999999999999E-2"	"0"	"7.3300000000000004E-2"	"0.11269999999999999"	"1.89E-2"	"1.04E-2"	"8.09E-2"	"2.9999999999999997E-4"	"1.61E-2"	"5.0000000000000001E-4"	"0"	"5.0599999999999999E-2"	"9.2999999999999992E-3"	"0"	"8.5000000000000006E-3"	"0"	"1.6000000000000001E-3"	"0"	"1.23E-2"	"0"	"5.11E-2"	"4.1000000000000003E-3"	"0"	"3.2800000000000003E-2"	"0"	"0"	"0"	"0"	"3.39E-2"	"1.9699999999999999E-2"	"0.21709999999999999"	"1.15E-2"	2	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	"17311"	"12268"	"13165"	"16331"	"19964"	"20973"	"12676"	"15025"	"20532"	"2009"	"334"	"278"	"396"	"438"	"563"	"0.2051"	"0.66649999999999998"	"4039"	"0.7077"	"0.39340000000000003"	"NULL"	"NULL"	"NULL"	"0.82151088350000001"	"0.730861965"	"0.75056369789999999"	"0.8551189522"	"0.77115503399999996"	"0.77514285709999997"	"21787.5"	"7500"	"12490"	"13500"	"14500"	"13500"	"16882"	"15000"	"13000"	"13500"	"14200"	"13500"	"14000"	"7575"	"3962"	"3644"	"1560"	"2322"	"3693"	"6927"	"648"	"3544"	"4031"	"3844"	"3731"	"1689"	"5886"	"NULL"	"NULL"	"3318"	"3548"	"3238"	"3500"	"NULL"	"NULL"	"NULL"	"NULL"	"21787.5"	"0.730861965"	"0.75056369789999999"	"0.36170000000000002"	"3510"	"106"	"164"	"72"	"13"	"2"	"82"	"65"	"25"	"2016-17"
"1.6199999999999999E-2"	"1.23E-2"	"3.5999999999999999E-3"	"6.7999999999999996E-3"	"7.7200000000000005E-2"	"0"	"6.3100000000000003E-2"	"0"	"0"	"0.1065"	"0"	"1.23E-2"	"0"	"0"	"1.9199999999999998E-2"	"0"	"0"	"9.64E-2"	"1.5800000000000002E-2"	"0"	"1.2200000000000001E-2"	"4.5900000000000003E-2"	"5.4000000000000003E-3"	"0"	"1.7999999999999999E-2"	"0"	"6.8500000000000005E-2"	"3.3099999999999997E-2"	"1.17E-2"	"8.7400000000000005E-2"	"0"	"0"	"0"	"0"	"2.29E-2"	"0.10340000000000001"	"0.14449999999999999"	"1.7600000000000001E-2"	1	1	1	1	1	0	2	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	2	2	2	2	0	0	0	0	1	2	2	1	"20166"	"11893"	"13845"	"19937"	"26125"	"27750"	"12580"	"16900"	"27183"	"3511"	"930"	"505"	"508"	"547"	"1021"	"0.31490000000000001"	"0.80059999999999998"	"6028"	"0.76"	"0.53249999999999997"	"NULL"	"NULL"	"NULL"	"0.779382197"	"0.67955539789999997"	"0.71555105659999996"	"0.80786209799999997"	"0.72717774589999995"	"0.75010858550000004"	"22250"	"12462.5"	"19103.5"	"20500"	"18750"	"19500"	"19109"	"21500"	"16000"	"19500"	"19125"	"19500"	"19500"	"21256"	"13971"	"7374"	"7200"	"6239"	"7817"	"17200"	"4056"	"12233"	"9023"	"11483"	"9773"	"7124"	"14132"	"NULL"	"NULL"	"8457"	"7903"	"7657"	"6907"	"NULL"	"NULL"	"NULL"	"NULL"	"22250"	"0.67955539789999997"	"0.71555105659999996"	"0.59150000000000003"	"2770"	"437"	"668"	"1679"	"4"	"28"	"218"	"125"	"99"	"2016-17"
