"UNITID"	"INSTNM"	"LONGITUD"	"LATITUDE"	"ACTCM25"	"ACTCM75"	"ACTEN25"	"ACTEN75"	"ACTMT25"	"ACTMT75"	"ACTNUM"	"SATPCT"	"ACTWR25"	"ACTWR75"	"ADMCON7"	"ADMCON8"	"ADMCON9"	"SATMT25"	"SATMT75"	"SATNUM"	"SATPCT.1"	"SATVR25"	"SATVR75"	"SATWR25"	"SATWR75"	"SCFA2"	"SCFY2"	"SCUGRAD"	"GIS4G0"	"GIS4G1"	"GIS4G10"	"GIS4G11"	"GIS4G12"	"GIS4G2"	"GIS4G20"	"GIS4G21"	"GIS4G22"	"GIS4G30"	"GIS4G31"	"GIS4G32"	"GIS4G40"	"GIS4G41"	"GIS4G42"	"GIS4G50"	"GIS4G51"	"GIS4G52"	"GRN4G0"	"GRN4G1"	"GRN4G10"	"GRN4G11"	"GRN4G12"	"GRN4G2"	"GRN4G20"	"GRN4G21"	"GRN4G22"	"GRN4G30"	"GRN4G31"	"GRN4G32"	"GRN4G40"	"GRN4G41"	"GRN4G42"	"GRN4G50"	"GRN4G51"	"GRN4G52"	"year"
145637	"University of Illinois at Urbana-Champaign"	"-88.230309"	"40.108864"	26	31	26	32	26	33	5967	24	8	9	1	1	3	690	780	1761	24	540	660	590	680	31540	NA	31540	1065	1230	489	539	619	1386	389	417	397	153	241	323	20	18	40	14	15	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
147767	"Northwestern University"	"-87.673653"	"42.058377"	31	33	32	35	30	35	1351	67	8	10	1	1	3	700	780	1421	67	680	750	680	770	9535	NA	9535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138	262	62	121	139	309	56	87	93	18	51	69	2	3	8	0	0	0	2011
151351	"Indiana University-Bloomington"	"-86.526904"	"39.166383"	24	29	24	30	24	29	4067	75	8	10	1	1	4	540	650	5531	75	510	630	510	620	32367	NA	32367	939	1160	341	489	533	1289	402	399	404	193	253	317	3	19	35	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
153658	"University of Iowa"	"-91.535698"	"41.660695"	23	28	22	28	23	28	4078	9	NA	NA	1	1	3	540	685	395	9	450	630	NA	NA	21179	NA	21179	506	467	190	187	219	519	174	156	141	125	105	139	12	13	12	5	6	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
163286	"University of Maryland-College Park"	"-76.939704"	"38.988607"	NA	NA	NA	NA	NA	NA	0	92	NA	NA	1	1	4	610	710	3685	92	580	680	NA	NA	26922	NA	26922	740	784	145	168	195	853	162	131	152	156	183	202	141	140	158	136	162	146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
170976	"University of Michigan-Ann Arbor"	"-83.743132"	"42.276137"	28	32	28	33	27	33	4977	34	NA	NA	1	1	3	650	750	2147	34	600	700	620	720	27027	NA	27027	531	675	220	300	298	690	218	211	212	90	156	160	3	8	20	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
171100	"Michigan State University"	"-84.473639"	"42.724760"	23	28	22	28	23	28	6522	13	NA	NA	1	1	3	540	670	1026	13	440	600	450	600	35921	NA	35921	3095	3128	638	883	885	2602	501	522	512	561	548	577	636	514	416	759	661	212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
174066	"University of Minnesota-Twin Cities"	"-93.235352"	"44.977886"	25	30	24	31	25	30	4882	15	7	8	1	1	4	610	740	817	15	540	690	550	670	33607	NA	33607	757	852	321	383	406	967	275	243	300	146	198	242	14	28	17	1	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
181464	"University of Nebraska-Lincoln"	"-96.702177"	"40.822272"	22	28	22	29	22	28	3877	8	NA	NA	1	1	3	520	670	346	8	510	660	NA	NA	19383	NA	19383	590	780	185	300	282	838	254	239	252	143	226	270	8	15	32	0	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
186380	"Rutgers University-New Brunswick"	"-74.450510"	"40.503796"	NA	NA	NA	NA	NA	NA	0	96	NA	NA	1	1	4	560	680	5839	96	520	630	530	640	30351	NA	30351	1454	1414	795	778	816	1606	413	400	480	231	223	294	14	12	15	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2011
