UNITID,INSTNM,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,CIP01BACHL,CIP03BACHL,CIP04BACHL,CIP05BACHL,CIP09BACHL,CIP10BACHL,CIP11BACHL,CIP12BACHL,CIP13BACHL,CIP14BACHL,CIP15BACHL,CIP16BACHL,CIP19BACHL,CIP22BACHL,CIP23BACHL,CIP24BACHL,CIP25BACHL,CIP26BACHL,CIP27BACHL,CIP29BACHL,CIP30BACHL,CIP31BACHL,CIP38BACHL,CIP39BACHL,CIP40BACHL,CIP41BACHL,CIP42BACHL,CIP43BACHL,CIP44BACHL,CIP45BACHL,CIP46BACHL,CIP47BACHL,CIP48BACHL,CIP49BACHL,CIP50BACHL,CIP51BACHL,CIP52BACHL,CIP54BACHL,NPT4_PUB,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT4_048_PUB,NPT4_3075_PUB,NPT4_75UP_PUB,NUM4_PUB,NUM41_PUB,NUM42_PUB,NUM43_PUB,NUM44_PUB,NUM45_PUB,PCTPELL,C150_4,D150_4,C150_4_NRA,PCTFLOAN,COMPL_RPY_1YR_RT,FEMALE_RPY_1YR_RT,MALE_RPY_1YR_RT,COMPL_RPY_3YR_RT,FEMALE_RPY_3YR_RT,MALE_RPY_3YR_RT,COMPL_RPY_5YR_RT,FEMALE_RPY_5YR_RT,MALE_RPY_5YR_RT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,PELL_DEBT_MDN,NOPELL_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,DEBT_N,GRAD_DEBT_N,WDRAW_DEBT_N,LO_INC_DEBT_N,MD_INC_DEBT_N,HI_INC_DEBT_N,DEP_DEBT_N,IND_DEBT_N,PELL_DEBT_N,NOPELL_DEBT_N,FEMALE_DEBT_N,MALE_DEBT_N,FIRSTGEN_DEBT_N,NOTFIRSTGEN_DEBT_N,FEMALE_RPY_1YR_N,MALE_RPY_1YR_N,FEMALE_RPY_3YR_N,MALE_RPY_3YR_N,FEMALE_RPY_5YR_N,MALE_RPY_5YR_N,MN_EARN_WNE_INDEP0_P6,MN_EARN_WNE_INDEP1_P6,MN_EARN_WNE_MALE0_P6,MN_EARN_WNE_MALE1_P6,GRAD_DEBT_MDN_SUPP,FEMALE_RPY_3YR_RT_SUPP,MALE_RPY_3YR_RT_SUPP,C100_4,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,Year
145637,University of Illinois at Urbana-Champaign,0.0697,0.0067,0.0171,0.0084,0.0753,0,0.0419,0,0.025,0.2086,0,0.008,0.0064,0,0.0166,8.00E-04,0,0.0758,0.0284,0,0.0116,0.0313,0.0019,0,0.0339,0,0.0502,0,0.0067,0.0752,0,0,0,0,0.0212,0.0449,0.1269,0.0075,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,2,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,18243,7554,11108,16782,24097,27448,8893,14198,26361,3134,728,440,526,467,973,0.2067,0.852,6921,0.7976,0.3584,NULL,NULL,NULL,0.826999694,0.759841545,0.814108252,0.851710395,0.79471913,0.8309361,20127,9000,15500,19000,18151,18000,14981,18911,16862,18000,17503.5,17000,18000,9321,6982,2372,2146,2686,4489,8901,420,4426,4895,4391,4930,2022,7299,NULL,NULL,4039,4508,3863,4241,NULL,NULL,NULL,NULL,20127,0.759841545,0.814108252,0.6988,3940,359,508,980,6,26,144,904,54,2016-17
147767,Northwestern University,0,0.0056,0.0016,0.0079,0.1968,0,0.0341,0,0.0044,0.1385,0,0.0115,0,0.0103,0.0159,4.00E-04,0,0.0563,0.0254,0,0.0119,0,0.0087,0,0.0159,0,0.0698,0,0.0437,0.1714,0,0,0,0,0.0913,0.0103,0.0456,0.0226,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.142,0.9351,2126,0.9023,0.268,NULL,NULL,NULL,0.912743252,0.870201097,0.870116156,0.932013201,0.89801444,0.898924731,17500,9348,12500,17774.5,16979,17485.5,7000,18430.5,15495.5,15983,16539,16598,16360,2152,1806,361,482,546,1124,1826,326,702,1450,1094,1058,263,1889,NULL,NULL,1094,947,1108,930,NULL,NULL,NULL,NULL,17500,0.870201097,0.870116156,0.8396,1190,116,173,412,3,1,70,133,28,2016-17
151351,Indiana University,0,0.0027,0,0.0036,0.0842,0.0031,0.0619,0,0.0617,0,0,0.0181,0.0161,0,0.0117,0.0347,0,0.0831,0.015,0,0.0017,0.0788,0.002,0,0.0146,0,0.0443,0.0165,0.0686,0.0704,0,0,0,0,0.0484,0.0462,0.2042,0.0082,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,2,1,14303,5470,6901,12796,19209,21799,6092,10163,20749,2691,518,398,493,520,762,0.1533,0.7639,6977,0.7524,0.3071,NULL,NULL,NULL,0.821379625,0.711294544,0.720650338,0.888315345,0.796248254,0.757501531,21500,8750,15529,17766.5,18681.5,17744,21396.5,18796,17350,17750,18000,17750,18000,9366,5871,3524,1774,2500,5092,8906,460,3957,5409,4811,4555,2025,7341,NULL,NULL,4967,4736,5011,4899,NULL,NULL,NULL,NULL,21500,0.711294544,0.720650338,0.5976,5174,338,318,253,3,2,219,622,48,2016-17
153658,University of Iowa,0,0.0081,0,0.0042,0.0769,0,0.0227,0,0.0183,0.0811,0,0.0173,0,0,0.0405,0.04,0,0.0294,0.0238,0,0.0238,0.1332,0.005,0,0.0117,0,0.0603,0,0.0106,0.078,0,0,0,0,0.0525,0.0721,0.1781,0.0123,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,2,0,1,1,0,2,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,2,1,14192,8259,9753,13418,16607,17268,9021,11881,16994,1491,195,203,281,337,475,0.1879,0.7182,4457,0.7626,0.4182,NULL,NULL,NULL,0.793728564,0.708375125,0.711680912,0.825675973,0.768273717,0.759525826,21500,8266.5,13098,16500,17538,16815,12393,18531,14551,15831,16208,15991.5,16000,8652,5286,3412,2092,2401,4159,7265,1387,3696,4956,4673,3979,1918,6734,NULL,NULL,3988,3510,3858,3543,NULL,NULL,NULL,NULL,21500,0.708375125,0.711680912,0.5095,3389,111,230,134,9,6,83,337,158,2016-17
163286,University of Maryland,0.0291,0.0093,0.0087,0.0121,0.0624,0,0.0553,0,0.0328,0.1378,0,0.0201,0.0221,0,0.0202,0,0,0.0884,0.0176,0,0.0027,0.0358,0.0045,0,0.0183,0,0.0461,0,0,0.1636,0,0,0,0,0.0257,0.0284,0.1439,0.0151,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,16928,7645,10573,16013,20346,22922,8820,13892,22140,1133,206,138,216,174,399,0.1875,0.8641,3930,0.7917,0.3398,NULL,NULL,NULL,0.85514421,0.778929188,0.808324206,0.877538947,0.824377828,0.835671343,19500,10216,14463,16500,17500,16500,17750,16750,16500,16500,16509,15000,16994.5,8117,5814,2354,1808,2019,4290,7178,939,3635,4482,3929,4188,1583,6534,NULL,NULL,3474,3652,3536,3493,NULL,NULL,NULL,NULL,19500,0.778929188,0.808324206,0.6891,2175,509,295,562,8,0,121,72,188,2016-17
170976,University of Michigan - Ann Arbor,0,0.0143,0.0081,0.0155,0.0293,0,0.0772,0,0.0122,0.177,0,0.0254,0,0,0.0242,0.0103,0,0.0895,0.0294,0,0.0345,0.0317,0.0028,0,0.0177,0,0.0966,0,0.0092,0.1158,0,0,0,0,0.0608,0.0295,0.0751,0.0141,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,2,1,1,14897,2660,5878,10106,16677,24129,3894,8383,21479,1545,262,163,237,314,569,0.1517,0.9117,6443,0.9341,0.2989,NULL,NULL,NULL,0.826826827,0.768553459,0.814073596,0.833404075,0.793413174,0.812896759,19153,10284,15739,19049,18299.5,18481,12500,18536,17808,17674,18520,18045.5,18151.5,6786,5780,1046,1309,1639,3838,6476,310,2719,4067,3420,3366,1022,5764,NULL,NULL,3180,3098,3006,2993,NULL,NULL,NULL,NULL,19153,0.768553459,0.814073596,0.765,4480,282,273,874,11,0,211,258,54,2016-17
171100,Michigan State University,0.0498,0.0131,0.0031,6.00E-04,0.1254,1.00E-04,0.0145,0,0.0294,0.0764,0.0289,0.0118,0.0135,0.0084,0.0178,0.0041,0,0.0994,0.0116,0,0.0155,0.0363,9.00E-04,0,0.0127,0,0.0397,0.0199,0.0092,0.1107,0.001,0,0,0,0.0218,0.0405,0.1794,0.0045,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1,17120,6665,12416,18143,22871,24846,8532,15367,24136,3461,928,446,474,580,1033,0.2254,0.7826,7221,0.706,0.4363,NULL,NULL,NULL,0.744590369,0.649569977,0.701226524,0.829370976,0.747089947,0.767112662,25200,10773,22000,25330,20500,21879,21130,25500,19500,22642,21188,24201.5,21500,13096,9301,4027,3221,3531,6344,12311,785,6464,6632,7199,5897,2856,10240,NULL,NULL,6395,5218,6615,5157,NULL,NULL,NULL,NULL,25200,0.649569977,0.701226524,0.5194,5213,499,271,312,14,2,205,636,69,2016-17
174066,University of Minnesota,0.0275,0.0164,0.0159,0.0037,0.0385,0,0.0529,0.0043,0.0516,0.1043,1.00E-04,0.0218,0.0172,0,0.0513,0,0,0.107,0.0355,0,0.0367,0.0124,0.0033,0,0.0287,0,0.0713,0,0,0.1192,0.0042,0,0,0,0.0341,0.0313,0.1022,0.0086,1,1,1,1,1,0,2,1,2,2,0,1,1,0,1,0,0,1,1,0,2,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,2,1,16993,7694,8246,12781,19554,23807,7942,10955,22275,2105,296,242,359,435,773,0.1938,0.7838,5310,0.8238,0.412,NULL,NULL,NULL,0.818910878,0.733959311,0.761930488,0.858185135,0.77984545,0.791014546,20000,10600,16500,16737.5,17610,16811.5,18750,18054,15750,16812,17500,17109,17000,12886,8342,4634,3109,3422,6355,11126,1760,5909,6977,7063,5823,2416,10470,NULL,NULL,6390,5553,6341,5431,NULL,NULL,NULL,NULL,20000,0.733959311,0.761930488,0.6122,4074,191,140,460,14,5,152,244,30,2016-17
181464,University of Nebraska,0.1006,0.0183,0.0219,0.0025,0.0771,0,0.0139,0,0.0733,0.1127,0.0189,0.0104,0.0809,3.00E-04,0.0161,5.00E-04,0,0.0506,0.0093,0,0.0085,0,0.0016,0,0.0123,0,0.0511,0.0041,0,0.0328,0,0,0,0,0.0339,0.0197,0.2171,0.0115,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,17311,12268,13165,16331,19964,20973,12676,15025,20532,2009,334,278,396,438,563,0.2051,0.6665,4039,0.7077,0.3934,NULL,NULL,NULL,0.821510884,0.730861965,0.750563698,0.855118952,0.771155034,0.775142857,21787.5,7500,12490,13500,14500,13500,16882,15000,13000,13500,14200,13500,14000,7575,3962,3644,1560,2322,3693,6927,648,3544,4031,3844,3731,1689,5886,NULL,NULL,3318,3548,3238,3500,NULL,NULL,NULL,NULL,21787.5,0.730861965,0.750563698,0.3617,3510,106,164,72,13,2,82,65,25,2016-17
186380,Rutgers University,0.0162,0.0123,0.0036,0.0068,0.0772,0,0.0631,0,0,0.1065,0,0.0123,0,0,0.0192,0,0,0.0964,0.0158,0,0.0122,0.0459,0.0054,0,0.018,0,0.0685,0.0331,0.0117,0.0874,0,0,0,0,0.0229,0.1034,0.1445,0.0176,1,1,1,1,1,0,2,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,2,2,2,2,0,0,0,0,1,2,2,1,20166,11893,13845,19937,26125,27750,12580,16900,27183,3511,930,505,508,547,1021,0.3149,0.8006,6028,0.76,0.5325,NULL,NULL,NULL,0.779382197,0.679555398,0.715551057,0.807862098,0.727177746,0.750108586,22250,12462.5,19103.5,20500,18750,19500,19109,21500,16000,19500,19125,19500,19500,21256,13971,7374,7200,6239,7817,17200,4056,12233,9023,11483,9773,7124,14132,NULL,NULL,8457,7903,7657,6907,NULL,NULL,NULL,NULL,22250,0.679555398,0.715551057,0.5915,2770,437,668,1679,4,28,218,125,99,2016-17
204796,The Ohio State University,0.0422,0.0183,0.0119,0.0028,0.0581,0,0.006,0,0.0311,0.1431,0,0.0184,0.0405,0,0.0175,0.0016,0,0.0862,0.0142,0,0.0028,0.0178,0.0026,0,0.0148,0,0.0541,0,0.0204,0.1031,0,0,0,0.0031,0.0231,0.0877,0.1698,0.0089,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,2,1,1,17231,8442,10850,15463,20029,22376,9431,13517,21517,2570,419,292,400,534,925,0.2042,0.8367,6651,0.8493,0.4141,NULL,NULL,NULL,0.746796827,0.605,0.651822311,0.789102686,0.665845033,0.693764631,21500,7500,13500,16000,16415.5,15500,16000,17000,14393,15500,15500,15695,15500,19962,12021,8131,5060,5714,9188,17301,2661,10097,9865,10221,9741,5525,14437,NULL,NULL,9200,9027,9331,9398,NULL,NULL,NULL,NULL,21500,0.605,0.651822311,0.5874,4981,401,232,373,24,0,77,491,72,2016-17
